Meter,PXM350,PXR25,PXM1000,PXM3000,PXQ-ST1-1A1,PXQ-ST2-1A1,PXBCM,PXMP,PXM2000,PXM6000,PXM8000,PXM4000
Qualitifcation,Capable and Simple,Capable and Simple,Powerful and Insightful,,,,,,,,,
School,1,1,0,0,0,0,0,0,,,,
Hotels,1,1,0,0,0,0,0,0,,,,
Buildings,1,1,0,0,0,0,0,0,,,,
Industrial Environment/Automation,1,1,1,1,1,1,0,0,,,,
Rail Transport,1,1,0,0,0,0,0,0,,,,
Distribution Cabinet,1,1,0,0,0,0,0,0,,,,
Power Distribution Automation,0,0,1,1,1,1,0,0,,,,
Electric Switch Gear and Control Panels,0,0,1,1,1,1,0,0,,,,
Building Automation,0,0,1,1,1,1,0,0,,,,
Marine Applications,0,0,1,1,1,1,0,0,,,,
Renewable Energy,0,0,1,1,1,1,0,0,,,,
Tenant Metering,0,0,0,0,0,0,1,1,,,,
Commercial Metering,0,0,0,0,0,0,1,1,,,,
Residential Metering,0,0,0,0,0,0,1,1,,,,
Data Center ,0,0,0,0,0,0,1,1,,,,
Number of Sensing Inputs,4,4,3,3,4,4,100,60,,,,
Real Time Metering,1,1,1,1,1,1,1,1,,,,
Health Monitor,0,1,0,0,0,0,0,0,,,,
Time of Use,0,0,1,1,0,0,0,0,,,,
Daylight Savings Time,0,0,1,1,0,0,0,0,,,,
Waveform Capture,0,0,1,1,1,1,0,0,,,,
Power Quality,0,0,1,1,0,0,0,0,,,,
On Board Data Logging,0,0,1,1,0,0,1,1,,,,
Pulse Metering,0,0,1,1,1,1,0,1,,,,
Sag/Swell Recording,0,0,1,1,0,0,0,0,,,,
Transient Recording (6MHZ),0,0,1,1,0,0,0,0,,,,
Harmonic Distortion,0,0,0,1,0,0,0,0,,,,
Remote Power Control,0,0,1,1,0,0,1,0,,,,
Onboard web-based software,0,0,0,0,1,1,0,0,,,,
Overload Alerts,0,0,0,0,0,0,1,0,,,,
Cost,$,$$,$$,$$,$$$,$$$,$,$$,,,,
Display,LCD Display,20D LCD Display,LCD Display,LCD Display,Website,Website,Color Touchscreen,Color Touchscreen,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,